TAX_YEAR,SUBLOT_ID,SECNO,CUSIP,SYMBOL,SEC_DESCR,SEC_TYPE,SEC_SUBTYPE,SUBACCOUNT_TYPE,OPEN_TRAN_ID,CLOSE_TRAN_ID-SEQNO,OPEN_DATE,CLOSE_DATE,CLOSE_EVENT,DISPOSAL_METHOD,QUANTITY,LONG_SHORT_IND,NO_WS_COST,NO_WS_PROCEEDS,NO_WS_GAINLOSS,WS_COST_ADJ,WS_PROC_ADJ,WS_LOSS_ID-SEQNO,1099_ACQ_DATE,1099_DISP_DATE,1099_COST,1099_PROCEEDS,GROSS_NET_IND,TOTAL_GAINLOSS,ORDINARY_GAINLOSS,1099_DISALLOWED_LOSS,1099_MARKET_DISCOUNT,8949_GAINLOSS,8949_CODE,HOLDING_DATE,TERM,COVERED_IND,8949_BOX,1099_1256_CY_REALIZED,1099_1256_PY_UNREALIZED,1099_1256_CY_UNREALIZED,1099_1256_AGGREGATE
2023,CS0001cnhpFE8PaqFp,9SFSKZ8_R2023-02-14,"",AAPL--230210P00132000,PUT  AAPL   02/10/23   132 APPLE INC,Option,EquityOption,Margin,230111ELXWF14J6VB6B8BV000,230118ELVRD1GAFX46THQ5000-1,2023-01-11,2023-01-18,Buy,FIFO,1.00000000,S,$253.12,$503.85,$250.73,$0.00,$0.00,,2023-01-11,2023-01-18,$0.00,$250.73,G,$250.73,$0.00,$0.00,$0.00,$250.73,,,ShortTerm,C,A,,,,
2023,CS0001cnhpCO4yfxXV,9E20359_R2023-02-21,"",STX---230217P00055000,PUT  STX    02/17/23    55 SEAGATE TECHNOLOGY HLDNGS PLC,Option,EquityOption,Margin,230111EL2W8YYP8S2VL5XX000,230123ELXD391HKAS2CHU3000-1,2023-01-11,2023-01-23,Buy,FIFO,1.00000000,S,$120.12,$238.86,$118.74,$0.00,$0.00,,2023-01-11,2023-01-23,$0.00,$118.74,G,$118.74,$0.00,$0.00,$0.00,$118.74,,,ShortTerm,C,A,,,,
2023,CS0001cnhpENJnUja2,9LFJGT9_R2023-02-22,"",T-----230217P00019000,PUT  T      02/17/23    19 AT&T INC,Option,EquityOption,Margin,230111ELMHG50EL5IMAT5C000,230125ELUVXX5YLO4FFPUZ000-1,2023-01-11,2023-01-25,Buy,FIFO,5.00000000,S,$120.59,$239.39,$118.80,$0.00,$0.00,,2023-01-11,2023-01-25,$0.00,$118.80,G,$118.80,$0.00,$0.00,$0.00,$118.80,,,ShortTerm,C,A,,,,
2023,CS0001cnhpEwWtOPZL,9SBVQK1_R2023-01-30,"",GOLD--230127P00018000,PUT  GOLD   01/27/23    18 BARRICK GOLD CORPORATION,Option,EquityOption,Margin,230111EL2TJ038NR62DVH5000,230127KU00000002232903000-1,2023-01-11,2023-01-27,OptionExpiration,FIFO,6.00000000,S,$0.00,$89.27,$89.27,$0.00,$0.00,,2023-01-11,2023-01-27,$0.00,$89.27,G,$89.27,$0.00,$0.00,$0.00,$89.27,,,ShortTerm,C,A,,,,
2023,CS0001cnhpEevObbAC,9LKMVX6,"",TMUS--230217P00145000,PUT  TMUS   02/17/23   145 T MOBILE US INC,Option,EquityOption,Margin,230111ELWGEANALY5QMZS5000,230201ELKLG8OAC0ESF8MH000-1,2023-01-11,2023-02-01,Buy,FIFO,1.00000000,S,$178.13,$353.86,$175.73,$0.00,$0.00,,2023-01-11,2023-02-01,$0.00,$175.73,G,$175.73,$0.00,$0.00,$0.00,$175.73,,,ShortTerm,C,A,,,,
2023,CS0001cnhpE5iKB09Y,9GKKNV2_R2023-02-21,"",ATVI--230217P00077500,PUT  ATVI   02/17/23    77.50 ACTIVISION BLIZZARD INC,Option,EquityOption,Margin,230111EL1YLNZG8KPIXN1Y000,230209EL0R9JCZPZAPXRVT000-1,2023-01-11,2023-02-09,Buy,FIFO,1.00000000,S,$348.13,$288.86,-$59.27,$0.00,$0.00,,2023-01-11,2023-02-09,$0.00,-$59.27,G,-$59.27,$0.00,$0.00,$0.00,-$59.27,,,ShortTerm,C,A,,,,
2023,CS0001d7LybF1D67Y2,9BRTZY8,"",AMZN--230217P00100000,PUT  AMZN   02/17/23   100 AMAZON.COM INC,Option,EquityOption,Margin,230118EL44HSOLJU9PVH99000,230127EL53BGVJXQCEOZM9000-1,2023-01-18,2023-01-27,Buy,FIFO,1.00000000,S,$425.12,$658.85,$233.73,$0.00,$0.00,,2023-01-18,2023-01-27,$0.00,$233.73,G,$233.73,$0.00,$0.00,$0.00,$233.73,,,ShortTerm,C,A,,,,
2023,CS0001d7LyafoBoqqy,8KTDXW0,"",MO----230317P00045000,PUT  MO     03/17/23    45 ALTRIA GROUP INC,Option,EquityOption,Margin,230118ELRISOQ5GM36E2BO000,230210ELJ7DGR1U6WUM8SL000-1,2023-01-18,2023-02-10,Sell,FIFO,1.00000000,L,$181.12,$35.85,-$145.27,$0.00,$0.00,,2023-01-18,2023-02-10,$181.12,$35.85,G,-$145.27,$0.00,$0.00,$0.00,-$145.27,,2023-01-18,ShortTerm,C,A,,,,
2023,CS0001d7LybWcp97bL,9KJDXJ6_R2023-02-21,"",MO----230217P00045000,PUT  MO     02/17/23    45 ALTRIA GROUP INC,Option,EquityOption,Margin,230118ELEORE4FKN33CA31000,230210ELW9RD0H1IVS7Y2Q000-1,2023-01-18,2023-02-10,Buy,FIFO,1.00000000,S,$5.13,$148.86,$143.73,$0.00,$0.00,,2023-01-18,2023-02-10,$0.00,$143.73,G,$143.73,$0.00,$0.00,$0.00,$143.73,,,ShortTerm,C,A,,,,
2023,CS0001dM7mM8UMk13t,9SCDRW4_R2023-01-31,"",PFE---230127P00045000,PUT  PFE    01/27/23    45 PFIZER INC,Option,EquityOption,Margin,230123EL8SYGB56KITDZAX000,230127ELA55H337DX8JXGA000-1,2023-01-23,2023-01-27,Buy,FIFO,1.00000000,S,$77.12,$53.86,-$23.26,$0.00,$0.00,,2023-01-23,2023-01-27,$0.00,-$23.26,G,-$23.26,$0.00,$0.00,$0.00,-$23.26,,,ShortTerm,C,A,,,,
2023,CS0001dM7mET8enaLv,8UCYHM5_R2023-01-31,"",PFE---230127P00042500,PUT  PFE    01/27/23    42.50 PFIZER INC,Option,EquityOption,Margin,230123EL3UVD1Z9FOUJ7S5000,230127ELAG2T85ZWQ04MOI000-1,2023-01-23,2023-01-27,Sell,FIFO,1.00000000,L,$4.12,$2.86,-$1.26,$0.00,$0.00,,2023-01-23,2023-01-27,$4.12,$2.86,G,-$1.26,$0.00,$0.00,$0.00,-$1.26,,2023-01-23,ShortTerm,C,A,,,,
2023,CS0001dM7mKiSdrZ9N,8UDYMX9_R2023-01-31,"",PFE---230127C00047500,CALL PFE    01/27/23    47.50 PFIZER INC,Option,EquityOption,Margin,230123ELHIAIPEBC2JRYH8000,230127ELGY7QRD0SKAABGE000-1,2023-01-23,2023-01-27,Sell,FIFO,1.00000000,L,$3.12,$2.86,-$0.26,$0.00,$0.00,,2023-01-23,2023-01-27,$3.12,$2.86,G,-$0.26,$0.00,$0.00,$0.00,-$0.26,,2023-01-23,ShortTerm,C,A,,,,
2023,CS0001dM7mLqsoxvTo,9SCDRW2_R2023-01-31,"",PFE---230127C00045000,CALL PFE    01/27/23    45 PFIZER INC,Option,EquityOption,Margin,230123ELD4BC2OQQI026CH000,230127ELQVN0JITQUOW5OV000-1,2023-01-23,2023-01-27,Buy,FIFO,1.00000000,S,$4.12,$48.86,$44.74,$0.00,$0.00,,2023-01-23,2023-01-27,$0.00,$44.74,G,$44.74,$0.00,$0.00,$0.00,$44.74,,,ShortTerm,C,A,,,,
2023,CS0001dM7mLZHKB74g,9PCFTZ6_R2023-02-07,"",PFE---230203P00045000,PUT  PFE    02/03/23    45 PFIZER INC,Option,EquityOption,Margin,230123ELFY80JVGTSXP5G0000,230201ELAES0UMBFLRMHN1000-1,2023-01-23,2023-02-01,Buy,FIFO,1.00000000,S,$143.13,$104.86,-$38.27,$0.00,$0.00,,2023-01-23,2023-02-01,$0.00,-$38.27,G,-$38.27,$0.00,$0.00,$0.00,-$38.27,,,ShortTerm,C,A,,,,
